,,POTATO,CABBAGE,BEETROOT,CARROT
Złota 44,1,0.0,0.0,0.0,0.0
Aleja Komisji Edukacji Narodowej 14,1,0.0,0.0,0.0,0.0
Mińska 25A,1,0.0,0.0,0.0,0.0
Częstochowska 4/6,1,0.0,0.0,0.0,0.0
Ostrobramska 71,1,0.0,0.0,0.0,0.0
Bulwary B. Grzymały Siedleckiego,1,0.0,0.0,0.0,0.0
Sardyńska 1,1,0.0,0.0,0.0,0.0
Pamiętajcie o Ogrodach 4,1,0.0,0.0,0.0,0.0
Gen. Tadeusza Pełczyńskiego 14,1,0.0,0.0,0.0,0.0
Aleja Niepodległości 162,1,0.0,0.0,0.0,0.0
Złota 44,2,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,2,41.0,19.0,12.0,29.0
Mińska 25A,2,41.0,19.0,13.0,30.0
Częstochowska 4/6,2,42.0,20.0,11.0,30.0
Ostrobramska 71,2,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,2,42.0,20.0,11.0,30.0
Sardyńska 1,2,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,2,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,2,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,2,42.0,20.0,12.0,30.0
Złota 44,3,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,3,41.0,19.0,12.0,29.0
Mińska 25A,3,41.0,19.0,13.0,30.0
Częstochowska 4/6,3,42.0,20.0,11.0,30.0
Ostrobramska 71,3,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,3,42.0,20.0,11.0,30.0
Sardyńska 1,3,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,3,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,3,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,3,42.0,20.0,12.0,30.0
Złota 44,4,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,4,41.0,19.0,12.0,29.0
Mińska 25A,4,41.0,19.0,13.0,30.0
Częstochowska 4/6,4,42.0,20.0,11.0,30.0
Ostrobramska 71,4,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,4,42.0,20.0,11.0,30.0
Sardyńska 1,4,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,4,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,4,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,4,42.0,20.0,12.0,30.0
Złota 44,5,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,5,41.0,19.0,12.0,29.0
Mińska 25A,5,41.0,19.0,13.0,30.0
Częstochowska 4/6,5,42.0,20.0,11.0,30.0
Ostrobramska 71,5,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,5,42.0,20.0,11.0,30.0
Sardyńska 1,5,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,5,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,5,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,5,42.0,20.0,12.0,30.0
Złota 44,6,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,6,41.0,19.0,12.0,29.0
Mińska 25A,6,41.0,19.0,13.0,30.0
Częstochowska 4/6,6,42.0,20.0,11.0,30.0
Ostrobramska 71,6,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,6,42.0,20.0,11.0,30.0
Sardyńska 1,6,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,6,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,6,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,6,42.0,20.0,12.0,30.0
Złota 44,7,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,7,41.0,19.0,12.0,29.0
Mińska 25A,7,41.0,19.0,13.0,30.0
Częstochowska 4/6,7,42.0,20.0,11.0,30.0
Ostrobramska 71,7,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,7,42.0,20.0,11.0,30.0
Sardyńska 1,7,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,7,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,7,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,7,42.0,20.0,12.0,30.0
Złota 44,8,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,8,41.0,19.0,12.0,29.0
Mińska 25A,8,41.0,19.0,13.0,30.0
Częstochowska 4/6,8,42.0,20.0,11.0,30.0
Ostrobramska 71,8,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,8,42.0,20.0,11.0,30.0
Sardyńska 1,8,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,8,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,8,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,8,42.0,20.0,12.0,30.0
Złota 44,9,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,9,41.0,19.0,12.0,29.0
Mińska 25A,9,41.0,19.0,13.0,30.0
Częstochowska 4/6,9,42.0,20.0,11.0,30.0
Ostrobramska 71,9,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,9,42.0,20.0,11.0,30.0
Sardyńska 1,9,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,9,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,9,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,9,42.0,20.0,12.0,30.0
Złota 44,10,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,10,41.0,19.0,12.0,29.0
Mińska 25A,10,41.0,19.0,13.0,30.0
Częstochowska 4/6,10,42.0,20.0,11.0,30.0
Ostrobramska 71,10,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,10,42.0,20.0,11.0,30.0
Sardyńska 1,10,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,10,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,10,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,10,42.0,20.0,12.0,30.0
Złota 44,11,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,11,41.0,19.0,12.0,29.0
Mińska 25A,11,41.0,19.0,13.0,30.0
Częstochowska 4/6,11,42.0,20.0,11.0,30.0
Ostrobramska 71,11,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,11,42.0,20.0,11.0,30.0
Sardyńska 1,11,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,11,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,11,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,11,42.0,20.0,12.0,30.0
Złota 44,12,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,12,41.0,19.0,12.0,29.0
Mińska 25A,12,41.0,19.0,13.0,30.0
Częstochowska 4/6,12,42.0,20.0,11.0,30.0
Ostrobramska 71,12,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,12,42.0,20.0,11.0,30.0
Sardyńska 1,12,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,12,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,12,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,12,42.0,20.0,12.0,30.0
Złota 44,13,41.0,19.0,12.0,30.0
