,,POTATO,CABBAGE,BEETROOT,CARROT
Błonie,Pruszków,81651.0,39223.0,21236.0,58744.0
Błonie,Piaseczno,0.0,0.0,0.0,0.0
Błonie,Zielonka,0.0,0.0,0.0,0.0
Książenice,Pruszków,0.0,0.0,0.0,0.0
Książenice,Piaseczno,0.0,0.0,0.0,0.0
Książenice,Zielonka,0.0,0.0,0.0,0.0
Góra Kalwaria,Pruszków,0.0,0.0,0.0,0.0
Góra Kalwaria,Piaseczno,96315.0,44439.0,28829.0,68270.0
Góra Kalwaria,Zielonka,0.0,0.0,0.0,0.0
Otwock,Pruszków,0.0,0.0,0.0,0.0
Otwock,Piaseczno,0.0,0.0,0.0,0.0
Otwock,Zielonka,0.0,0.0,0.0,0.0
Wołomin,Pruszków,0.0,0.0,0.0,0.0
Wołomin,Piaseczno,0.0,0.0,0.0,0.0
Wołomin,Zielonka,43298.0,20255.0,13552.0,31513.0
Legionowo,Pruszków,0.0,0.0,0.0,0.0
Legionowo,Piaseczno,0.0,0.0,0.0,0.0
Legionowo,Zielonka,0.0,0.0,0.0,0.0
